id,score,format,season,season_year,episodes,genres,source,tags,studios
1,9,TV,SPRING,1998,26,"[""ACTION"", ""ADVENTURE"", ""DRAMA"", ""SCI-FI""]",ORIGINAL,"[""SPACE"", ""CRIME"", ""EPISODIC"", ""ENSEMBLE CAST"", ""PRIMARILY ADULT CAST"", ""NOIR"", ""TRAGEDY"", ""CYBERPUNK"", ""GUNS"", ""MALE PROTAGONIST"", ""PHILOSOPHY"", ""MARTIAL ARTS"", ""ANTI-HERO"", ""AMNESIA"", ""CYBORG"", ""TERRORISM"", ""GAMBLING"", ""YAKUZA"", ""DRUGS"", ""CULT"", ""TANNED SKIN"", ""TRANSGENDER"", ""POLICE"", ""LGBTQ+ THEMES"", ""GENDER BENDING"", ""TRAVEL""]","[""SUNRISE""]"
5,9,MOVIE,SUMMER,2001,1,"[""ACTION"", ""DRAMA"", ""MYSTERY"", ""SCI-FI""]",ORIGINAL,"[""TERRORISM"", ""PRIMARILY ADULT CAST"", ""MARTIAL ARTS"", ""SPACE"", ""CRIME"", ""MALE PROTAGONIST"", ""PHILOSOPHY"", ""MILITARY"", ""NOIR"", ""ENSEMBLE CAST"", ""GUNS"", ""AMNESIA"", ""CYBERPUNK"", ""ANTI-HERO"", ""FOREIGN"", ""CYBORG"", ""WORK""]","[""BONES"", ""SUNRISE""]"
6,7,TV,SPRING,1998,26,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""DRAMA"", ""SCI-FI""]",MANGA,"[""GUNS"", ""FUGITIVE"", ""PHILOSOPHY"", ""MALE PROTAGONIST"", ""PRIMARILY ADULT CAST"", ""CRIME"", ""TRAGEDY"", ""SHOUNEN"", ""EPISODIC"", ""TWINS"", ""ALIENS"", ""SPACE"", ""RELIGION"", ""SLAPSTICK"", ""BODY HORROR""]","[""MADHOUSE""]"
20,7,TV,FALL,2002,220,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""DRAMA"", ""FANTASY"", ""SUPERNATURAL""]",MANGA,"[""NINJA"", ""SHOUNEN"", ""COMING OF AGE"", ""MALE PROTAGONIST"", ""SUPER POWER"", ""CULTIVATION"", ""REVENGE"", ""MARTIAL ARTS"", ""SHAPESHIFTING"", ""ANACHRONISM"", ""FOUND FAMILY"", ""PRIMARILY CHILD CAST"", ""TRAGEDY"", ""KAIJU"", ""ORPHAN"", ""ENSEMBLE CAST"", ""BULLYING"", ""TRAVEL"", ""DEMONS"", ""SLAPSTICK"", ""GENDER BENDING"", ""SCHOOL"", ""ASSASSINS"", ""NUDITY""]","[""STUDIO PIERROT""]"
21,8,TV,FALL,1999,1035,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""DRAMA"", ""FANTASY""]",MANGA,"[""PIRATES"", ""SHOUNEN"", ""ENSEMBLE CAST"", ""SUPER POWER"", ""TRAVEL"", ""MALE PROTAGONIST"", ""SHIPS"", ""FOUND FAMILY"", ""CONSPIRACY"", ""SLAPSTICK"", ""TIME SKIP"", ""CRIME"", ""TRAGEDY"", ""SLAVERY"", ""POLITICS"", ""WAR"", ""SWORDPLAY"", ""HENSHIN"", ""LOST CIVILIZATION"", ""ANTI-HERO"", ""FUGITIVE"", ""ANIMALS"", ""PRIMARILY ADULT CAST"", ""SHAPESHIFTING"", ""SKELETON"", ""CYBORG"", ""ROBOTS"", ""SUPER ROBOT"", ""FOOD"", ""MEDICINE"", ""DRAGONS"", ""GODS"", ""SAMURAI"", ""ANACHRONISM"", ""ESPIONAGE"", ""GUNS"", ""PRIMARILY MALE CAST"", ""NINJA"", ""COMING OF AGE"", ""KUUDERE"", ""ASSASSINS"", ""MERMAID"", ""BATTLE ROYALE"", ""TIME MANIPULATION"", ""DINOSAURS"", ""DRUGS"", ""BODY SWAPPING"", ""TRAINS"", ""ADOPTION"", ""TRANSGENDER"", ""TANNED SKIN"", ""ZOMBIE""]","[""TOEI ANIMATION""]"
25,7,TV,FALL,2004,24,"[""ACTION"", ""ADVENTURE"", ""COMEDY"", ""ECCHI"", ""SCI-FI""]",MANGA,"[""POST-APOCALYPTIC"", ""SLAPSTICK"", ""GUNS"", ""SURVIVAL"", ""ANTI-HERO"", ""ARTIFICIAL INTELLIGENCE"", ""TERRORISM"", ""SHOUNEN"", ""GANGS"", ""WAR"", ""MILITARY"", ""SLAVERY""]","[""GONZO""]"
30,7,TV,FALL,1995,26,"[""ACTION"", ""DRAMA"", ""MECHA"", ""MYSTERY"", ""PSYCHOLOGICAL"", ""SCI-FI""]",ORIGINAL,"[""PHILOSOPHY"", ""COMING OF AGE"", ""TRAGEDY"", ""ANGELS"", ""DYSTOPIAN"", ""COSMIC HORROR"", ""DENPA"", ""POST-APOCALYPTIC"", ""SUPER ROBOT"", ""PRIMARILY TEEN CAST"", ""KAIJU"", ""MALE PROTAGONIST"", ""CONSPIRACY"", ""ALIENS"", ""BODY HORROR"", ""MYTHOLOGY"", ""REAL ROBOT"", ""MILITARY"", ""TRAINS"", ""BISEXUAL"", ""ANTI-HERO"", ""POLITICS"", ""FEMALE HAREM"", ""TSUNDERE"", ""KUUDERE"", ""GORE"", ""ESPIONAGE"", ""NUDITY"", ""CLONE"", ""EPISODIC"", ""LGBTQ+ THEMES"", ""VIDEO GAMES""]","[""GAINAX"", ""TATSUNOKO PRODUCTION""]"
32,7,MOVIE,SUMMER,1997,1,"[""ACTION"", ""DRAMA"", ""MECHA"", ""PSYCHOLOGICAL"", ""SCI-FI""]",ORIGINAL,"[""PHILOSOPHY"", ""TRAGEDY"", ""DYSTOPIAN"", ""COMING OF AGE"", ""POST-APOCALYPTIC"", ""COSMIC HORROR"", ""META"", ""DENPA"", ""CONSPIRACY"", ""GODS"", ""BODY HORROR"", ""MALE PROTAGONIST"", ""SUPER ROBOT"", ""GORE"", ""AFTERLIFE"", ""MYTHOLOGY"", ""ROBOTS"", ""FEMALE PROTAGONIST"", ""KAIJU"", ""RELIGION"", ""MASTURBATION"", ""NUDITY"", ""PRIMARILY TEEN CAST"", ""TSUNDERE"", ""POLITICS"", ""SPACE"", ""CLONE""]","[""GAINAX"", ""PRODUCTION I.G""]"
33,9,TV,FALL,1997,25,"[""ACTION"", ""ADVENTURE"", ""DRAMA"", ""FANTASY"", ""HORROR"", ""SUPERNATURAL""]",MANGA,"[""TRAGEDY"", ""SEINEN"", ""SWORDPLAY"", ""WAR"", ""MALE PROTAGONIST"", ""COSMIC HORROR"", ""GORE"", ""MILITARY"", ""ANTI-HERO"", ""PHILOSOPHY"", ""FOUND FAMILY"", ""DEMONS"", ""PRIMARILY ADULT CAST"", ""REVENGE"", ""HETEROSEXUAL"", ""SKELETON"", ""RAPE"", ""POLITICS"", ""LOVE TRIANGLE"", ""COMING OF AGE"", ""NETORARE"", ""ARCHERY"", ""PRIMARILY MALE CAST"", ""TANNED SKIN"", ""TOMBOY"", ""FUGITIVE"", ""NUDITY"", ""TRAVEL"", ""PARKOUR""]","[""OLM""]"
47,8,MOVIE,SUMMER,1988,1,"[""ACTION"", ""ADVENTURE"", ""HORROR"", ""PSYCHOLOGICAL"", ""SCI-FI"", ""SUPERNATURAL""]",MANGA,"[""CYBERPUNK"", ""POST-APOCALYPTIC"", ""DYSTOPIAN"", ""SUPER POWER"", ""MALE PROTAGONIST"", ""TRAGEDY"", ""URBAN"", ""MOTORCYCLES"", ""ANTI-HERO"", ""SEINEN"", ""BODY HORROR"", ""GANGS"", ""GORE"", ""MILITARY"", ""PHILOSOPHY"", ""COSMIC HORROR"", ""CONSPIRACY"", ""CRIME"", ""URBAN FANTASY"", ""POLITICS"", ""NUDITY"", ""MYTHOLOGY"", ""ALIENS"", ""DELINQUENTS""]","[""TOKYO MOVIE SHINSHA""]"
